HGNC ID	Approved symbol	Approved name	Locus type	NCBI Gene ID(supplied by NCBI)
HGNC:9226	PPA1	inorganic pyrophosphatase 1	gene with protein product	5464
HGNC:28883	PPA2	inorganic pyrophosphatase 2	gene with protein product	27068
HGNC:9227	PPAN	peter pan homolog	gene with protein product	56342
HGNC:33526	PPAN-P2RY11	PPAN-P2RY11 readthrough	readthrough	692312
HGNC:9232	PPARA	peroxisome proliferator activated receptor alpha	gene with protein product	5465
HGNC:9235	PPARD	peroxisome proliferator activated receptor delta	gene with protein product	5467
HGNC:9236	PPARG	peroxisome proliferator activated receptor gamma	gene with protein product	5468
HGNC:9237	PPARGC1A	PPARG coactivator 1 alpha	gene with protein product	10891
HGNC:30022	PPARGC1B	PPARG coactivator 1 beta	gene with protein product	133522
HGNC:9238	PPAT	phosphoribosyl pyrophosphate amidotransferase	gene with protein product	5471
HGNC:9239	PPATP1	phosphoribosyl pyrophosphate amidotransferase pseudogene 1	pseudogene	100289640
HGNC:48738	PPATP2	phosphoribosyl pyrophosphate amidotransferase pseudogene 2	pseudogene	100421601
HGNC:9240	PPBP	pro-platelet basic protein	gene with protein product	5473
HGNC:9241	PPBPP1	pro-platelet basic protein pseudogene 1	pseudogene	728045
HGNC:16981	PPBPP2	pro-platelet basic protein pseudogene 2	pseudogene	10895
HGNC:28107	PPCDC	phosphopantothenoylcysteine decarboxylase	gene with protein product	60490
HGNC:25686	PPCS	phosphopantothenoylcysteine synthetase	gene with protein product	79717
HGNC:16142	PPDPF	pancreatic progenitor cell differentiation and proliferation factor	gene with protein product	79144
HGNC:31745	PPDPFL	pancreatic progenitor cell differentiation and proliferation factor like	gene with protein product	492307
HGNC:9243	PPEF1	protein phosphatase with EF-hand domain 1	gene with protein product	5475
HGNC:40463	PPEF1-AS1	PPEF1 antisense RNA 1	RNA, long non-coding	100874004
HGNC:9244	PPEF2	protein phosphatase with EF-hand domain 2	gene with protein product	5470
HGNC:9245	PPFIA1	PTPRF interacting protein alpha 1	gene with protein product	8500
HGNC:9246	PPFIA2	PTPRF interacting protein alpha 2	gene with protein product	8499
HGNC:53397	PPFIA2-AS1	PPFIA2 antisense RNA 1	RNA, long non-coding	102724663
HGNC:9247	PPFIA3	PTPRF interacting protein alpha 3	gene with protein product	8541
HGNC:9248	PPFIA4	PTPRF interacting protein alpha 4	gene with protein product	8497
HGNC:9249	PPFIBP1	PPFIA binding protein 1	gene with protein product	8496
HGNC:9250	PPFIBP2	PPFIA binding protein 2	gene with protein product	8495
HGNC:19369	PPHLN1	periphilin 1	gene with protein product	51535
HGNC:9253	PPIA	peptidylprolyl isomerase A	gene with protein product	5478
HGNC:24369	PPIAL4A	peptidylprolyl isomerase A like 4A	gene with protein product	653505
HGNC:33995	PPIAL4C	peptidylprolyl isomerase A like 4C	gene with protein product	653598
HGNC:33998	PPIAL4D	peptidylprolyl isomerase A like 4D	gene with protein product	645142
HGNC:33997	PPIAL4E	peptidylprolyl isomerase A like 4E	gene with protein product	730262
HGNC:33999	PPIAL4F	peptidylprolyl isomerase A like 4F	gene with protein product	728945
HGNC:33996	PPIAL4G	peptidylprolyl isomerase A like 4G	gene with protein product	644591
HGNC:53889	PPIAL4H	peptidylprolyl isomerase A like 4H	gene with protein product	105371242
HGNC:9254	PPIAP1	peptidylprolyl isomerase A pseudogene 1	pseudogene	100288185
HGNC:16542	PPIAP2	peptidylprolyl isomerase A pseudogene 2	pseudogene	170537
HGNC:16545	PPIAP3	peptidylprolyl isomerase A pseudogene 3	pseudogene	170539
HGNC:19935	PPIAP4	peptidylprolyl isomerase A pseudogene 4	pseudogene	122552
HGNC:20027	PPIAP5	peptidylprolyl isomerase A pseudogene 5	pseudogene	122842
HGNC:20028	PPIAP6	peptidylprolyl isomerase A pseudogene 6	pseudogene	319128
HGNC:9270	PPIAP7	peptidylprolyl isomerase A pseudogene 7	pseudogene	5489
HGNC:9271	PPIAP8	peptidylprolyl isomerase A pseudogene 8	pseudogene	341457
HGNC:9272	PPIAP9	peptidylprolyl isomerase A pseudogene 9	pseudogene	5491
HGNC:9264	PPIAP10	peptidylprolyl isomerase A pseudogene 10	pseudogene	140913
HGNC:9263	PPIAP11	peptidylprolyl isomerase A pseudogene 11	pseudogene	5483
HGNC:9266	PPIAP13	peptidylprolyl isomerase A pseudogene 13	pseudogene	5485
HGNC:9267	PPIAP14	peptidylprolyl isomerase A pseudogene 14	pseudogene	5486
HGNC:9268	PPIAP15	peptidylprolyl isomerase A pseudogene 15	pseudogene	5487
HGNC:9269	PPIAP16	peptidylprolyl isomerase A pseudogene 16	pseudogene	5488
HGNC:16334	PPIAP17	peptidylprolyl isomerase A pseudogene 17	pseudogene	170540
HGNC:32454	PPIAP18	peptidylprolyl isomerase A pseudogene 18	pseudogene	729673
HGNC:31663	PPIAP19	peptidylprolyl isomerase A pseudogene 19	pseudogene	390006
HGNC:38037	PPIAP20	peptidylprolyl isomerase A pseudogene 20	pseudogene	100500737
HGNC:16246	PPIAP21	peptidylprolyl isomerase A pseudogene 21	pseudogene	170536
HGNC:17236	PPIAP22	peptidylprolyl isomerase A pseudogene 22	pseudogene	653214
HGNC:39268	PPIAP23	peptidylprolyl isomerase A pseudogene 23	pseudogene	390419
HGNC:39269	PPIAP24	peptidylprolyl isomerase A pseudogene 24	pseudogene	122335
HGNC:39270	PPIAP25	peptidylprolyl isomerase A pseudogene 25	pseudogene	647085
HGNC:39271	PPIAP26	peptidylprolyl isomerase A pseudogene 26	pseudogene	121981
HGNC:42646	PPIAP27	peptidylprolyl isomerase A pseudogene 27	pseudogene	100874405
HGNC:39902	PPIAP28	peptidylprolyl isomerase A pseudogene 28	pseudogene	390378
HGNC:43021	PPIAP29	peptidylprolyl isomerase A pseudogene 29	pseudogene	134997
HGNC:44878	PPIAP30	peptidylprolyl isomerase A pseudogene 30	pseudogene	100192204
HGNC:44962	PPIAP31	peptidylprolyl isomerase A pseudogene 31	pseudogene	439953
HGNC:49531	PPIAP32	peptidylprolyl isomerase A pseudogene 32	pseudogene	101927399
HGNC:49752	PPIAP33	peptidylprolyl isomerase A pseudogene 33	pseudogene	392285
HGNC:53658	PPIAP34	peptidylprolyl isomerase A pseudogene 34	pseudogene	101060363
HGNC:53659	PPIAP35	peptidylprolyl isomerase A pseudogene 35	pseudogene	128192
HGNC:53660	PPIAP36	peptidylprolyl isomerase A pseudogene 36	pseudogene	111082961
HGNC:53661	PPIAP37	peptidylprolyl isomerase A pseudogene 37	pseudogene	111082976
HGNC:53662	PPIAP38	peptidylprolyl isomerase A pseudogene 38	pseudogene	111082962
HGNC:53663	PPIAP39	peptidylprolyl isomerase A pseudogene 39	pseudogene	111082963
HGNC:53664	PPIAP40	peptidylprolyl isomerase A pseudogene 40	pseudogene	107984349
HGNC:53665	PPIAP41	peptidylprolyl isomerase A pseudogene 41	pseudogene	111082977
HGNC:53666	PPIAP42	peptidylprolyl isomerase A pseudogene 42	pseudogene	100507231
HGNC:53667	PPIAP43	peptidylprolyl isomerase A pseudogene 43	pseudogene	440063
HGNC:53668	PPIAP44	peptidylprolyl isomerase A pseudogene 44	pseudogene	111082964
HGNC:53669	PPIAP45	peptidylprolyl isomerase A pseudogene 45	pseudogene	100506099
HGNC:53670	PPIAP46	peptidylprolyl isomerase A pseudogene 46	pseudogene	729739
HGNC:53671	PPIAP47	peptidylprolyl isomerase A pseudogene 47	pseudogene	391532
HGNC:53672	PPIAP48	peptidylprolyl isomerase A pseudogene 48	pseudogene	111082978
HGNC:53673	PPIAP49	peptidylprolyl isomerase A pseudogene 49	pseudogene	111082973
HGNC:53674	PPIAP50	peptidylprolyl isomerase A pseudogene 50	pseudogene	111082974
HGNC:53675	PPIAP51	peptidylprolyl isomerase A pseudogene 51	pseudogene	729313
HGNC:53676	PPIAP52	peptidylprolyl isomerase A pseudogene 52	pseudogene	111082965
HGNC:53677	PPIAP53	peptidylprolyl isomerase A pseudogene 53	pseudogene	649873
HGNC:53678	PPIAP54	peptidylprolyl isomerase A pseudogene 54	pseudogene	390791
HGNC:53679	PPIAP55	peptidylprolyl isomerase A pseudogene 55	pseudogene	342541
HGNC:53680	PPIAP56	peptidylprolyl isomerase A pseudogene 56	pseudogene	101927689
HGNC:53681	PPIAP57	peptidylprolyl isomerase A pseudogene 57	pseudogene	111082979
HGNC:53682	PPIAP58	peptidylprolyl isomerase A pseudogene 58	pseudogene	126170
HGNC:53683	PPIAP59	peptidylprolyl isomerase A pseudogene 59	pseudogene	390956
HGNC:53684	PPIAP60	peptidylprolyl isomerase A pseudogene 60	pseudogene	107985791
HGNC:53685	PPIAP61	peptidylprolyl isomerase A pseudogene 61	pseudogene	107985764
HGNC:53686	PPIAP62	peptidylprolyl isomerase A pseudogene 62	pseudogene	101928610
HGNC:53687	PPIAP63	peptidylprolyl isomerase A pseudogene 63	pseudogene	111082966
HGNC:53688	PPIAP64	peptidylprolyl isomerase A pseudogene 64	pseudogene	100287361
HGNC:53689	PPIAP65	peptidylprolyl isomerase A pseudogene 65	pseudogene	111082980
HGNC:53690	PPIAP66	peptidylprolyl isomerase A pseudogene 66	pseudogene	643997
HGNC:53691	PPIAP67	peptidylprolyl isomerase A pseudogene 67	pseudogene	111082981
HGNC:53692	PPIAP68	peptidylprolyl isomerase A pseudogene 68	pseudogene	111082967
HGNC:53693	PPIAP69	peptidylprolyl isomerase A pseudogene 69	pseudogene	111082982
HGNC:53694	PPIAP70	peptidylprolyl isomerase A pseudogene 70	pseudogene	100506946
HGNC:53695	PPIAP71	peptidylprolyl isomerase A pseudogene 71	pseudogene	107986014
HGNC:53696	PPIAP72	peptidylprolyl isomerase A pseudogene 72	pseudogene	256374
HGNC:53697	PPIAP73	peptidylprolyl isomerase A pseudogene 73	pseudogene	391587
HGNC:53698	PPIAP74	peptidylprolyl isomerase A pseudogene 74	pseudogene	131055
HGNC:53699	PPIAP75	peptidylprolyl isomerase A pseudogene 75	pseudogene	111082968
HGNC:53700	PPIAP76	peptidylprolyl isomerase A pseudogene 76	pseudogene	111082983
HGNC:53701	PPIAP77	peptidylprolyl isomerase A pseudogene 77	pseudogene	402213
HGNC:53702	PPIAP78	peptidylprolyl isomerase A pseudogene 78	pseudogene	202227
HGNC:53703	PPIAP79	peptidylprolyl isomerase A pseudogene 79	pseudogene	100289244
HGNC:53704	PPIAP80	peptidylprolyl isomerase A pseudogene 80	pseudogene	402644
HGNC:53705	PPIAP81	peptidylprolyl isomerase A pseudogene 81	pseudogene	107986732
HGNC:53706	PPIAP82	peptidylprolyl isomerase A pseudogene 82	pseudogene	442713
HGNC:53707	PPIAP83	peptidylprolyl isomerase A pseudogene 83	pseudogene	111082969
HGNC:53708	PPIAP84	peptidylprolyl isomerase A pseudogene 84	pseudogene	111082984
HGNC:53709	PPIAP85	peptidylprolyl isomerase A pseudogene 85	pseudogene	111082975
HGNC:53710	PPIAP86	peptidylprolyl isomerase A pseudogene 86	pseudogene	111082970
HGNC:53711	PPIAP87	peptidylprolyl isomerase A pseudogene 87	pseudogene	392352
HGNC:53712	PPIAP88	peptidylprolyl isomerase A pseudogene 88	pseudogene	111082971
HGNC:53713	PPIAP89	peptidylprolyl isomerase A pseudogene 89	pseudogene	442460
HGNC:53714	PPIAP90	peptidylprolyl isomerase A pseudogene 90	pseudogene	111082985
HGNC:53715	PPIAP91	peptidylprolyl isomerase A pseudogene 91	pseudogene	111082972
HGNC:54634	PPIAP93	PPIA pseudogene 93	pseudogene	
HGNC:9255	PPIB	peptidylprolyl isomerase B	gene with protein product	5479
HGNC:9256	PPIC	peptidylprolyl isomerase C	gene with protein product	5480
HGNC:40464	PPIC-AS1	PPIC antisense RNA 1	RNA, long non-coding	107986447
HGNC:9257	PPID	peptidylprolyl isomerase D	gene with protein product	5481
HGNC:9258	PPIE	peptidylprolyl isomerase E	gene with protein product	10450
HGNC:33195	PPIEL	peptidylprolyl isomerase E like pseudogene	pseudogene	728448
HGNC:9259	PPIF	peptidylprolyl isomerase F	gene with protein product	10105
HGNC:14650	PPIG	peptidylprolyl isomerase G	gene with protein product	9360
HGNC:34231	PPIGP1	peptidylprolyl isomerase G pseudogene 1	pseudogene	100131033
HGNC:14651	PPIH	peptidylprolyl isomerase H	gene with protein product	10465
HGNC:31355	PPIHP1	peptidylprolyl isomerase H pseudogene 1	pseudogene	246731
HGNC:31356	PPIHP2	peptidylprolyl isomerase H pseudogene 2	pseudogene	404199
HGNC:9260	PPIL1	peptidylprolyl isomerase like 1	gene with protein product	51645
HGNC:20865	PPIL1P1	peptidylprolyl isomerase like 1 pseudogene 1	pseudogene	150947
HGNC:9261	PPIL2	peptidylprolyl isomerase like 2	gene with protein product	23759
HGNC:9262	PPIL3	peptidylprolyl isomerase like 3	gene with protein product	53938
HGNC:15702	PPIL4	peptidylprolyl isomerase like 4	gene with protein product	85313
HGNC:21557	PPIL6	peptidylprolyl isomerase like 6	gene with protein product	285755
HGNC:29023	PPIP5K1	diphosphoinositol pentakisphosphate kinase 1	gene with protein product	9677
HGNC:32373	PPIP5K1P1	diphosphoinositol pentakisphosphate kinase 1 pseudogene 1	pseudogene	554224
HGNC:29035	PPIP5K2	diphosphoinositol pentakisphosphate kinase 2	gene with protein product	23262
HGNC:9273	PPL	periplakin	gene with protein product	5493
HGNC:9275	PPM1A	protein phosphatase, Mg2+/Mn2+ dependent 1A	gene with protein product	5494
HGNC:30175	PPM1AP1	protein phosphatase, Mg2+/Mn2+ dependent 1A pseudogene 1	pseudogene	137012
HGNC:9276	PPM1B	protein phosphatase, Mg2+/Mn2+ dependent 1B	gene with protein product	5495
HGNC:9277	PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D	gene with protein product	8493
HGNC:19322	PPM1E	protein phosphatase, Mg2+/Mn2+ dependent 1E	gene with protein product	22843
HGNC:19388	PPM1F	protein phosphatase, Mg2+/Mn2+ dependent 1F	gene with protein product	9647
HGNC:40888	PPM1F-AS1	PPM1F antisense RNA 1	RNA, long non-coding	100286925
HGNC:9278	PPM1G	protein phosphatase, Mg2+/Mn2+ dependent 1G	gene with protein product	5496
HGNC:18583	PPM1H	protein phosphatase, Mg2+/Mn2+ dependent 1H	gene with protein product	57460
HGNC:20785	PPM1J	protein phosphatase, Mg2+/Mn2+ dependent 1J	gene with protein product	333926
HGNC:25415	PPM1K	protein phosphatase, Mg2+/Mn2+ dependent 1K	gene with protein product	152926
HGNC:54093	PPM1K-DT	PPM1K divergent transcript	RNA, long non-coding	105369192
HGNC:16381	PPM1L	protein phosphatase, Mg2+/Mn2+ dependent 1L	gene with protein product	151742
HGNC:26506	PPM1M	protein phosphatase, Mg2+/Mn2+ dependent 1M	gene with protein product	132160
HGNC:26845	PPM1N	protein phosphatase, Mg2+/Mn2+ dependent 1N (putative)	gene with protein product	147699
HGNC:30178	PPME1	protein phosphatase methylesterase 1	gene with protein product	51400
HGNC:9280	PPOX	protoporphyrinogen oxidase	gene with protein product	5498
HGNC:9281	PPP1CA	protein phosphatase 1 catalytic subunit alpha	gene with protein product	5499
HGNC:9282	PPP1CB	protein phosphatase 1 catalytic subunit beta	gene with protein product	5500
HGNC:9283	PPP1CC	protein phosphatase 1 catalytic subunit gamma	gene with protein product	5501
HGNC:9286	PPP1R1A	protein phosphatase 1 regulatory inhibitor subunit 1A	gene with protein product	5502
HGNC:16316	PPP1R1AP1	protein phosphatase 1 regulatory inhibitor subunit 1A pseudogene 1	pseudogene	94304
HGNC:16317	PPP1R1AP2	protein phosphatase 1 regulatory inhibitor subunit 1A pseudogene 2	pseudogene	100129627
HGNC:9287	PPP1R1B	protein phosphatase 1 regulatory inhibitor subunit 1B	gene with protein product	84152
HGNC:14940	PPP1R1C	protein phosphatase 1 regulatory inhibitor subunit 1C	gene with protein product	151242
HGNC:9288	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2	gene with protein product	5504
HGNC:16318	PPP1R2B	PPP1R2 family member B	gene with protein product	153743
HGNC:16324	PPP1R2C	PPP1R2C family member C	gene with protein product	80316
HGNC:9289	PPP1R2P1	protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 1	pseudogene	100507444
HGNC:9290	PPP1R2P2	protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 2	pseudogene	54036
HGNC:16319	PPP1R2P4	protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 4	pseudogene	728970
HGNC:16320	PPP1R2P5	protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 5	pseudogene	649489
HGNC:16321	PPP1R2P6	protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 6	pseudogene	100130972
HGNC:16323	PPP1R2P8	protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 8	pseudogene	94310
HGNC:42008	PPP1R2P10	protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 10	pseudogene	100128626
HGNC:9291	PPP1R3A	protein phosphatase 1 regulatory subunit 3A	gene with protein product	5506
HGNC:14942	PPP1R3B	protein phosphatase 1 regulatory subunit 3B	gene with protein product	79660
HGNC:9293	PPP1R3C	protein phosphatase 1 regulatory subunit 3C	gene with protein product	5507
HGNC:9294	PPP1R3D	protein phosphatase 1 regulatory subunit 3D	gene with protein product	5509
HGNC:14943	PPP1R3E	protein phosphatase 1 regulatory subunit 3E	gene with protein product	90673
HGNC:14944	PPP1R3F	protein phosphatase 1 regulatory subunit 3F	gene with protein product	89801
HGNC:14945	PPP1R3G	protein phosphatase 1 regulatory subunit 3G	gene with protein product	648791
HGNC:9295	PPP1R7	protein phosphatase 1 regulatory subunit 7	gene with protein product	5510
HGNC:9296	PPP1R8	protein phosphatase 1 regulatory subunit 8	gene with protein product	5511
HGNC:9297	PPP1R8P1	protein phosphatase 1 regulatory subunit 8 pseudogene 1	pseudogene	5512
HGNC:14946	PPP1R9A	protein phosphatase 1 regulatory subunit 9A	gene with protein product	55607
HGNC:40696	PPP1R9A-AS1	PPP1R9A antisense RNA 1	RNA, long non-coding	105375405
HGNC:9298	PPP1R9B	protein phosphatase 1 regulatory subunit 9B	gene with protein product	84687
HGNC:9284	PPP1R10	protein phosphatase 1 regulatory subunit 10	gene with protein product	5514
HGNC:16325	PPP1R10P1	protein phosphatase 1 regulatory subunit 10 pseudogene 1	pseudogene	100422381
HGNC:9285	PPP1R11	protein phosphatase 1 regulatory inhibitor subunit 11	gene with protein product	6992
HGNC:16326	PPP1R11P1	protein phosphatase 1 regulatory inhibitor subunit 11 pseudogene 1	pseudogene	94297
HGNC:16327	PPP1R11P2	protein phosphatase 1 regulatory inhibitor subunit 11 pseudogene 2	pseudogene	94298
HGNC:7618	PPP1R12A	protein phosphatase 1 regulatory subunit 12A	gene with protein product	4659
HGNC:51903	PPP1R12A-AS1	PPP1R12A antisense RNA 1	RNA, long non-coding	105369865
HGNC:7619	PPP1R12B	protein phosphatase 1 regulatory subunit 12B	gene with protein product	4660
HGNC:18498	PPP1R12BP1	protein phosphatase 1 regulatory subunit 12B pseudogene 1	pseudogene	360021
HGNC:23970	PPP1R12BP2	protein phosphatase 1 regulatory subunit 12B pseudogene 2	pseudogene	360020
HGNC:14947	PPP1R12C	protein phosphatase 1 regulatory subunit 12C	gene with protein product	54776
HGNC:14950	PPP1R13B	protein phosphatase 1 regulatory subunit 13B	gene with protein product	23368
HGNC:18838	PPP1R13L	protein phosphatase 1 regulatory subunit 13 like	gene with protein product	10848
HGNC:14871	PPP1R14A	protein phosphatase 1 regulatory inhibitor subunit 14A	gene with protein product	94274
HGNC:9057	PPP1R14B	protein phosphatase 1 regulatory inhibitor subunit 14B	gene with protein product	26472
HGNC:54233	PPP1R14B-AS1	PPP1R14B antisense RNA 1	RNA, long non-coding	105369340
HGNC:9058	PPP1R14BP1	protein phosphatase 1 regulatory inhibitor subunit 14B pseudogene 1	pseudogene	50516
HGNC:16329	PPP1R14BP2	protein phosphatase 1 regulatory inhibitor subunit 14B pseudogene 2	pseudogene	729406
HGNC:16330	PPP1R14BP3	protein phosphatase 1 regulatory inhibitor subunit 14B pseudogene 3	pseudogene	100507617
HGNC:16331	PPP1R14BP4	protein phosphatase 1 regulatory inhibitor subunit 14B pseudogene 4	pseudogene	94302
HGNC:16332	PPP1R14BP5	protein phosphatase 1 regulatory inhibitor subunit 14B pseudogene 5	pseudogene	442256
HGNC:14952	PPP1R14C	protein phosphatase 1 regulatory inhibitor subunit 14C	gene with protein product	81706
HGNC:14953	PPP1R14D	protein phosphatase 1 regulatory inhibitor subunit 14D	gene with protein product	54866
HGNC:14375	PPP1R15A	protein phosphatase 1 regulatory subunit 15A	gene with protein product	23645
HGNC:14951	PPP1R15B	protein phosphatase 1 regulatory subunit 15B	gene with protein product	84919
HGNC:14941	PPP1R16A	protein phosphatase 1 regulatory subunit 16A	gene with protein product	84988
HGNC:15850	PPP1R16B	protein phosphatase 1 regulatory subunit 16B	gene with protein product	26051
HGNC:16973	PPP1R17	protein phosphatase 1 regulatory subunit 17	gene with protein product	10842
HGNC:29413	PPP1R18	protein phosphatase 1 regulatory subunit 18	gene with protein product	170954
HGNC:30595	PPP1R21	protein phosphatase 1 regulatory subunit 21	gene with protein product	129285
HGNC:29089	PPP1R26	protein phosphatase 1 regulatory subunit 26	gene with protein product	9858
HGNC:48717	PPP1R26-AS1	PPP1R26 antisense RNA 1	RNA, long non-coding	100506599
HGNC:42015	PPP1R26P1	protein phosphatase 1 regulatory subunit 26 pseudogene 1	pseudogene	100418740
HGNC:42016	PPP1R26P2	protein phosphatase 1 regulatory subunit 26 pseudogene 2	pseudogene	100133064
HGNC:42017	PPP1R26P3	protein phosphatase 1 regulatory subunit 26 pseudogene 3	pseudogene	100132173
HGNC:42018	PPP1R26P4	protein phosphatase 1 regulatory subunit 26 pseudogene 4	pseudogene	100132295
HGNC:42019	PPP1R26P5	protein phosphatase 1 regulatory subunit 26 pseudogene 5	pseudogene	100133040
HGNC:16813	PPP1R27	protein phosphatase 1 regulatory subunit 27	gene with protein product	116729
HGNC:28869	PPP1R32	protein phosphatase 1 regulatory subunit 32	gene with protein product	220004
HGNC:28320	PPP1R35	protein phosphatase 1 regulatory subunit 35	gene with protein product	221908
HGNC:41194	PPP1R35-AS1	PPP1R35 antisense RNA 1	RNA, long non-coding	101927632
HGNC:20097	PPP1R36	protein phosphatase 1 regulatory subunit 36	gene with protein product	145376
HGNC:27607	PPP1R37	protein phosphatase 1 regulatory subunit 37	gene with protein product	284352
HGNC:33732	PPP1R42	protein phosphatase 1 regulatory subunit 42	gene with protein product	286187
HGNC:9299	PPP2CA	protein phosphatase 2 catalytic subunit alpha	gene with protein product	5515
HGNC:9300	PPP2CB	protein phosphatase 2 catalytic subunit beta	gene with protein product	5516
HGNC:9301	PPP2CBP1	protein phosphatase 2 catalytic subunit beta pseudogene 1	pseudogene	5517
HGNC:9302	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha	gene with protein product	5518
HGNC:9303	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta	gene with protein product	5519
HGNC:9304	PPP2R2A	protein phosphatase 2 regulatory subunit Balpha	gene with protein product	5520
HGNC:9305	PPP2R2B	protein phosphatase 2 regulatory subunit Bbeta	gene with protein product	5521
HGNC:42984	PPP2R2B-IT1	PPP2R2B intronic transcript 1	RNA, long non-coding	100874361
HGNC:9306	PPP2R2C	protein phosphatase 2 regulatory subunit Bgamma	gene with protein product	5522
HGNC:23732	PPP2R2D	protein phosphatase 2 regulatory subunit Bdelta	gene with protein product	55844
HGNC:44544	PPP2R2DP1	protein phosphatase 2 regulatory subunit Bdelta pseudogene 1	pseudogene	100327036
HGNC:9307	PPP2R3A	protein phosphatase 2 regulatory subunit B''alpha	gene with protein product	5523
HGNC:13417	PPP2R3B	protein phosphatase 2 regulatory subunit B''beta	gene with protein product	28227
HGNC:17485	PPP2R3C	protein phosphatase 2 regulatory subunit B''gamma	gene with protein product	55012
HGNC:9309	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha	gene with protein product	5525
HGNC:9310	PPP2R5B	protein phosphatase 2 regulatory subunit B'beta	gene with protein product	5526
HGNC:9311	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma	gene with protein product	5527
HGNC:17835	PPP2R5CP	protein phosphatase 2 regulatory subunit B'gamma pseudogene	pseudogene	140921
HGNC:9312	PPP2R5D	protein phosphatase 2 regulatory subunit B'delta	gene with protein product	5528
HGNC:9313	PPP2R5E	protein phosphatase 2 regulatory subunit B'epsilon	gene with protein product	5529
HGNC:9314	PPP3CA	protein phosphatase 3 catalytic subunit alpha	gene with protein product	5530
HGNC:9315	PPP3CB	protein phosphatase 3 catalytic subunit beta	gene with protein product	5532
HGNC:50750	PPP3CB-AS1	PPP3CB antisense RNA 1 (head to head)	RNA, long non-coding	101929145
HGNC:9316	PPP3CC	protein phosphatase 3 catalytic subunit gamma	gene with protein product	5533
HGNC:9317	PPP3R1	protein phosphatase 3 regulatory subunit B, alpha	gene with protein product	5534
HGNC:9318	PPP3R2	protein phosphatase 3 regulatory subunit B, beta	gene with protein product	5535
HGNC:9319	PPP4C	protein phosphatase 4 catalytic subunit	gene with protein product	5531
HGNC:9320	PPP4R1	protein phosphatase 4 regulatory subunit 1	gene with protein product	9989
HGNC:51112	PPP4R1-AS1	PPP4R1 antisense RNA 1	RNA, long non-coding	101927323
HGNC:15755	PPP4R1L	protein phosphatase 4 regulatory subunit 1 like (pseudogene)	pseudogene	55370
HGNC:18296	PPP4R2	protein phosphatase 4 regulatory subunit 2	gene with protein product	151987
HGNC:20219	PPP4R3A	protein phosphatase 4 regulatory subunit 3A	gene with protein product	55671
HGNC:29267	PPP4R3B	protein phosphatase 4 regulatory subunit 3B	gene with protein product	57223
HGNC:33146	PPP4R3C	protein phosphatase 4 regulatory subunit 3C	gene with protein product	139420
HGNC:23788	PPP4R4	protein phosphatase 4 regulatory subunit 4	gene with protein product	57718
HGNC:9322	PPP5C	protein phosphatase 5 catalytic subunit	gene with protein product	5536
HGNC:44209	PPP5D1	PPP5 tetratricopeptide repeat domain containing 1	gene with protein product	100506012
HGNC:9323	PPP6C	protein phosphatase 6 catalytic subunit	gene with protein product	5537
HGNC:34077	PPP6CP	protein phosphatase 6 catalytic subunit pseudogene	pseudogene	100144631
HGNC:29195	PPP6R1	protein phosphatase 6 regulatory subunit 1	gene with protein product	22870
HGNC:19253	PPP6R2	protein phosphatase 6 regulatory subunit 2	gene with protein product	9701
HGNC:39605	PPP6R2P1	protein phosphatase 6 regulatory subunit 2 pseudogene 1	pseudogene	100631381
HGNC:1173	PPP6R3	protein phosphatase 6 regulatory subunit 3	gene with protein product	55291
HGNC:30025	PPRC1	PPARG related coactivator 1	gene with protein product	23082
HGNC:9325	PPT1	palmitoyl-protein thioesterase 1	gene with protein product	5538
HGNC:9326	PPT2	palmitoyl-protein thioesterase 2	gene with protein product	9374
HGNC:48343	PPT2-EGFL8	PPT2-EGFL8 readthrough (NMD candidate)	readthrough	100532746
HGNC:30695	PPTC7	protein phosphatase targeting COQ7	gene with protein product	160760
HGNC:28954	PPWD1	peptidylprolyl isomerase domain and WD repeat containing 1	gene with protein product	23398
HGNC:9327	PPY	pancreatic polypeptide	gene with protein product	5539
HGNC:9328	PPY2P	pancreatic polypeptide 2, pseudogene	pseudogene	23614
HGNC:9330	PQBP1	polyglutamine binding protein 1	gene with protein product	10084
HGNC:43986	PQLC1P1	PQ loop repeat containing 1 pseudogene 1	pseudogene	106479032
HGNC:43987	PQLC1P2	PQ loop repeat containing 1 pseudogene 2	pseudogene	100127906
HGNC:30591	PRAC1	PRAC1 small nuclear protein	gene with protein product	84366
HGNC:30143	PRAC2	PRAC2 small nuclear protein	gene with protein product	360205
HGNC:16047	PRADC1	protease associated domain containing 1	gene with protein product	84279
